student_id,y1_gpa_mean,y1_gpa_min,y1_gpa_max,y1_gpa_std,y1_cgpa_end,y1_cgpa_min,y1_gpa_trend,y1_courses_taken,y1_fail_count,y1_risk_count,y1_a_count,y1_avg_grade_point,y1_fail_rate,y1_risk_rate,y1_a_rate,y1_ever_probation,y1_incomplete_data
S00039f6fd1b74390,3.88,3.88,3.88,0.0,3.88,3.88,0.0,5.0,0.0,0.0,3.0,3.1,0.0,0.0,0.6,0,1
S0021eb5e8ac9bfec,3.75,3.75,3.75,0.0,3.75,3.75,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.6,0,1
S0027200343737e85,3.55,3.22,3.88,0.466690475583121,3.53,3.53,-0.6599999999999997,10.0,0.0,0.0,4.0,3.15,0.0,0.0,0.4,0,0
S00351b9aa92d65d6,3.4699999999999998,3.38,3.56,0.12727922061357883,3.47,3.38,0.18000000000000016,10.0,0.0,0.0,4.0,3.15,0.0,0.0,0.4,0,0
S00364db68c4f235e,3.5,3.5,3.5,0.0,3.5,3.5,0.0,5.0,0.0,0.0,2.0,2.8,0.0,0.0,0.4,0,1
S003e475aa47d58dc,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S004a44d4ffc3ea70,3.4299999999999997,3.25,3.61,0.2545584412271572,3.44,3.25,0.3599999999999999,10.0,0.0,0.0,1.0,3.1,0.0,0.0,0.1,0,0
S007ec4aa50afde04,3.67,3.67,3.67,0.0,3.67,3.67,0.0,6.0,0.0,0.0,3.0,3.0833333333333335,0.0,0.0,0.5,0,1
S007f16965d7a9323,2.62,2.61,2.63,0.01414213562373112,2.62,2.62,-0.020000000000000018,10.0,0.0,1.0,0.0,2.35,0.0,0.1,0.0,0,0
S00811ff3f54f7526,3.8899999999999997,3.78,4.0,0.15556349186104043,3.88,3.88,-0.2200000000000002,10.0,0.0,0.0,7.0,3.5,0.0,0.0,0.7,0,0
S008cc478c4b068aa,3.71,3.67,3.75,0.05656854249492385,3.71,3.71,-0.08000000000000007,10.0,0.0,0.0,5.0,3.35,0.0,0.0,0.5,0,0
S009425864f7953a8,2.3200000000000003,2.25,2.39,0.09899494936611658,2.32,2.25,0.14000000000000012,10.0,0.0,2.0,0.0,2.1,0.0,0.2,0.0,0,0
S00a315492899b463,3.5949999999999998,3.44,3.75,0.21920310216782962,3.59,3.59,-0.31000000000000005,10.0,0.0,0.0,4.0,3.25,0.0,0.0,0.4,0,0
S00b0ed5977e682fe,2.88,2.88,2.88,0.0,2.88,2.88,0.0,5.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0,1
S00d3f377e862fdff,3.6550000000000002,3.56,3.75,0.13435028842544414,3.65,3.65,-0.18999999999999995,10.0,0.0,0.0,4.0,3.3,0.0,0.0,0.4,0,0
S00d5db36822dca23,3.13,3.13,3.13,0.0,3.13,3.13,0.0,5.0,0.0,0.0,1.0,2.5,0.0,0.0,0.2,0,1
S00e2dba8f79a85c3,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,1.0,2.6,0.0,0.0,0.2,0,1
S00ea48612090d518,1.845,1.63,2.06,0.3040559159102156,1.85,1.63,0.43000000000000016,10.0,0.0,4.0,0.0,1.7,0.0,0.4,0.0,1,0
S00edea96a80781da,2.5949999999999998,2.44,2.75,0.21920310216782962,2.59,2.59,-0.31000000000000005,10.0,0.0,1.0,0.0,2.35,0.0,0.1,0.0,0,0
S0104b8d59b5cb817,0.4,0.0,0.8,0.5656854249492381,0.36,0.0,0.8,8.0,5.0,1.0,0.0,0.375,0.625,0.125,0.0,1,0
S0119853eaee4a3c5,2.63,2.63,2.63,0.0,2.63,2.63,0.0,5.0,0.0,1.0,0.0,2.1,0.0,0.2,0.0,0,1
S011fae987f9707e3,2.13,2.13,2.13,0.0,2.13,2.13,0.0,5.0,0.0,2.0,0.0,1.7,0.0,0.4,0.0,0,1
S013492c95f8de35c,3.0700000000000003,2.89,3.25,0.2545584412271572,3.06,3.06,-0.3599999999999999,10.0,0.0,0.0,1.0,2.7,0.0,0.0,0.1,0,0
S0135013aafd32f75,3.0,3.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0,1
S0197308ad75e74cb,3.0,3.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,1.0,2.4,0.0,0.0,0.2,0,1
S01c1a38d8b404869,2.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0,1
S01cb84ace2cdfdd2,2.9699999999999998,2.94,3.0,0.042426406871192736,2.97,2.97,-0.06000000000000005,10.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0,0
S01da54e779d55252,3.5700000000000003,3.39,3.75,0.2545584412271572,3.56,3.56,-0.3599999999999999,10.0,0.0,0.0,3.0,3.2,0.0,0.0,0.3,0,0
S01e4fa63186732d0,3.13,3.13,3.13,0.0,3.13,3.13,0.0,5.0,0.0,0.0,1.0,2.5,0.0,0.0,0.2,0,1
S022f0d67d2fc1382,3.88,3.88,3.88,0.0,3.88,3.88,0.0,5.0,0.0,0.0,3.0,3.1,0.0,0.0,0.6,0,1
S0235f729a56ee731,2.88,2.88,2.88,0.0,2.88,2.88,0.0,5.0,0.0,1.0,0.0,2.3,0.0,0.2,0.0,0,1
S02461720ece27247,2.98,2.83,3.13,0.21213203435596414,2.97,2.97,-0.2999999999999998,10.0,0.0,0.0,1.0,2.7,0.0,0.0,0.1,0,0
S024917b0a2124327,2.08,1.88,2.28,0.2828427124746188,2.37,1.88,0.3999999999999999,10.0,1.0,0.0,0.0,1.9,0.1,0.0,0.0,1,0
S024b1f4f1b45a104,3.855,3.83,3.88,0.03535533905932725,3.85,3.85,-0.04999999999999982,10.0,0.0,0.0,6.0,3.45,0.0,0.0,0.6,0,0
S026736b16870c241,3.5,3.5,3.5,0.0,3.5,3.5,0.0,5.0,0.0,0.0,2.0,2.8,0.0,0.0,0.4,0,1
S0272b7926eb03cde,2.775,2.67,2.88,0.14849242404917495,2.76,2.76,-0.20999999999999996,10.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,0
S028f7bfe98f91c5c,3.775,3.67,3.88,0.14849242404917495,3.76,3.76,-0.20999999999999996,10.0,0.0,0.0,6.0,3.4,0.0,0.0,0.6,0,0
S02947b236b94ce1f,2.63,2.63,2.63,0.0,2.63,2.63,0.0,5.0,0.0,1.0,0.0,2.1,0.0,0.2,0.0,0,1
S02a65a034b2440fc,3.285,3.13,3.44,0.21920310216782962,3.29,3.13,0.31000000000000005,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.1,0,0
S02c2ed814859982e,2.785,2.44,3.13,0.4879036790187179,2.76,2.76,-0.69,10.0,1.0,0.0,1.0,2.5,0.1,0.0,0.1,0,0
S033ee0a3d43f0abe,3.205,2.78,3.63,0.6010407640085655,3.18,3.18,-0.8500000000000001,10.0,0.0,0.0,2.0,2.85,0.0,0.0,0.2,0,0
S03497264bc0da9a5,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S038629ff81040f38,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,1.0,2.6,0.0,0.0,0.2,0,1
S03a2fc5b6e2fa7ef,0.67,0.67,0.67,0.0,0.67,0.67,0.0,4.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1,1
S03a7dd0a38bbdd92,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0,1
S03c9b60ffe971331,3.0,3.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,1.0,2.4,0.0,0.0,0.2,0,1
S03fbbc47508644e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
S03ff1c52a61cc6fc,3.75,3.75,3.75,0.0,3.75,3.75,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.4,0,1
S041fed76d0180d65,2.9299999999999997,2.75,3.11,0.2545584412271572,2.94,2.75,0.3599999999999999,10.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,0,0
S04455bf81dd6bcd9,3.5549999999999997,3.5,3.61,0.0777817459305203,3.56,3.5,0.10999999999999988,10.0,0.0,0.0,4.0,3.15,0.0,0.0,0.4,0,0
S04a8a0adc169528c,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,1.0,2.6,0.0,0.0,0.2,0,1
S04ce5dbb6cd4c844,3.13,3.13,3.13,0.0,3.13,3.13,0.0,5.0,0.0,0.0,1.0,2.5,0.0,0.0,0.2,0,1
S04d30a6f446f7bb6,3.0,3.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0,1
S04d55add82b650ca,2.7800000000000002,2.56,3.0,0.31112698372208103,2.76,2.76,-0.43999999999999995,10.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,0
S04f582be572dabfe,2.6399999999999997,2.28,3.0,0.5091168824543142,2.62,2.62,-0.7200000000000002,10.0,0.0,1.0,0.0,2.4,0.0,0.1,0.0,0,0
S04f5ab171075326d,2.25,2.25,2.25,0.0,2.25,2.25,0.0,5.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0,1
S05382a66ab179321,3.5,3.5,3.5,0.0,3.5,3.5,0.0,10.0,0.0,0.0,3.0,3.15,0.0,0.0,0.3,0,0
S05696f42268bd20c,2.585,2.5,2.67,0.12020815280171303,2.8,2.5,0.16999999999999993,10.0,0.0,1.0,0.0,2.35,0.0,0.1,0.0,0,0
S05873ed56cd98d8e,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S058d588e90689c7b,2.13,2.13,2.13,0.0,2.13,2.13,0.0,5.0,0.0,1.0,0.0,1.7,0.0,0.2,0.0,0,1
S05b6caa3c4ed9c1c,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0,1
S05db033900c6a235,3.605,3.33,3.88,0.38890872965260104,3.59,3.59,-0.5499999999999998,10.0,0.0,0.0,4.0,3.2,0.0,0.0,0.4,0,0
S05e1766d9d91de46,2.63,2.63,2.63,0.0,2.63,2.63,0.0,5.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0,1
S05eb10dac2ff14b4,2.5,2.5,2.5,0.0,2.5,2.5,0.0,5.0,1.0,0.0,1.0,2.0,0.2,0.0,0.2,0,1
S060591bfe89d4f7e,3.88,3.88,3.88,0.0,3.88,3.88,0.0,5.0,0.0,0.0,3.0,3.1,0.0,0.0,0.6,0,1
S0606990f18ce9e31,2.0,2.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,1.6,0.0,0.2,0.0,0,1
S060df0e6632becac,2.44,2.44,2.44,0.0,2.44,2.44,0.0,6.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0,1
S061a156026c49303,2.9850000000000003,2.75,3.22,0.3323401871576773,3.0,2.75,0.4700000000000002,10.0,0.0,0.0,1.0,2.7,0.0,0.0,0.1,0,0
S061ef32e387ea65d,2.76,2.63,2.89,0.18384776310850268,2.76,2.63,0.26000000000000023,10.0,0.0,2.0,1.0,2.5,0.0,0.2,0.1,0,0
S062a863eea913e8a,4.0,4.0,4.0,0.0,4.0,4.0,0.0,10.0,0.0,0.0,9.0,3.6,0.0,0.0,0.9,0,0
S0649cc408d01a92b,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0,1
S064c9fbc31153861,2.9299999999999997,2.75,3.11,0.2545584412271572,2.94,2.75,0.3599999999999999,10.0,0.0,0.0,1.0,2.65,0.0,0.0,0.1,0,0
S066c9984b17371d9,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S06729636df576a83,2.75,2.75,2.75,0.0,2.75,2.75,0.0,5.0,0.0,1.0,0.0,2.2,0.0,0.2,0.0,0,1
S06735f31ccb05659,3.4,3.17,3.63,0.3252691193458118,3.38,3.38,-0.45999999999999996,10.0,0.0,0.0,3.0,3.05,0.0,0.0,0.3,0,0
S06932e8bf7bb2709,2.37,2.11,2.63,0.3676955262170049,2.35,2.35,-0.52,10.0,0.0,1.0,0.0,2.15,0.0,0.1,0.0,0,0
S069964274d35f1bf,3.75,3.75,3.75,0.0,3.75,3.75,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.4,0,1
S06e5242d6639ad78,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S06f110fd8dcc3721,2.38,2.38,2.38,0.0,2.38,2.38,0.0,5.0,1.0,0.0,1.0,1.9,0.2,0.0,0.2,0,1
S06f8d389db3c06f2,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S06fa7d3f35e77cea,3.88,3.88,3.88,0.0,3.88,3.88,0.0,5.0,0.0,0.0,3.0,3.1,0.0,0.0,0.6,0,1
S071f19925dc23d15,2.51,2.13,2.89,0.5374011537017764,2.53,2.13,0.7600000000000002,10.0,0.0,2.0,0.0,2.3,0.0,0.2,0.0,0,0
S0727b8bf7458ccb5,1.75,1.75,1.75,0.0,1.75,1.75,0.0,3.0,0.0,1.0,0.0,1.1666666666666667,0.0,0.3333333333333333,0.0,1,1
S07304927cbdbfcbf,3.78,3.78,3.78,0.0,3.78,3.78,0.0,6.0,0.0,0.0,4.0,3.1666666666666665,0.0,0.0,0.6666666666666666,0,1
S073d8aa3e3844085,1.75,1.75,1.75,0.0,1.75,1.75,0.0,5.0,1.0,1.0,0.0,1.4,0.2,0.2,0.0,1,1
S073f73ac19778436,3.06,3.06,3.06,0.0,3.06,3.06,0.0,6.0,0.0,0.0,1.0,2.5833333333333335,0.0,0.0,0.16666666666666666,0,1
S0767734e25cdc5a0,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,2.0,2.6,0.0,0.0,0.4,0,1
S07753a1329f2fd33,2.75,2.75,2.75,0.0,2.75,2.75,0.0,5.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0,1
S0775ef8185010074,3.63,3.63,3.63,0.0,3.63,3.63,0.0,5.0,0.0,0.0,1.0,2.9,0.0,0.0,0.2,0,1
S07870fee857fbb4a,1.82,1.5,2.14,0.45254833995939053,1.8,1.5,0.6400000000000001,9.0,1.0,2.0,0.0,1.6111111111111112,0.1111111111111111,0.2222222222222222,0.0,1,0
S078ea5213eb57d99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1,1
S07a59ddd1343a129,3.13,3.13,3.13,0.0,3.13,3.13,0.0,5.0,0.0,0.0,1.0,2.5,0.0,0.0,0.2,0,1
S07df034cde3c56b3,2.8449999999999998,2.75,2.94,0.13435028842544414,2.85,2.75,0.18999999999999995,10.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0,0
S07fd61e0a8b711c4,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,1.0,2.7,0.0,0.0,0.2,0,1
S080c07b812a9996c,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0,1
S081f44c75236eaa4,3.38,3.38,3.38,0.0,3.38,3.38,0.0,4.0,0.0,0.0,2.0,3.375,0.0,0.0,0.5,0,1
S083cd59bb39bd338,3.38,3.38,3.38,0.0,3.38,3.38,0.0,5.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0,1
S083d30bd7bfadf7c,1.75,1.75,1.75,0.0,1.75,1.75,0.0,5.0,1.0,1.0,0.0,1.4,0.2,0.2,0.0,1,1
S0850ae3c97767f44,2.94,2.94,2.94,0.0,2.94,2.94,0.0,6.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,1
S0877f1db5db965e4,2.63,2.63,2.63,0.0,2.63,2.63,0.0,5.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0,1
S08891e1f7b261641,3.285,3.13,3.44,0.21920310216782962,3.29,3.13,0.31000000000000005,10.0,0.0,0.0,4.0,2.95,0.0,0.0,0.4,0,0
S089e85c637908d0d,3.71,3.67,3.75,0.05656854249492385,3.71,3.71,-0.08000000000000007,10.0,0.0,0.0,5.0,3.3,0.0,0.0,0.5,0,0
S08aad1835af6aaa2,3.25,3.25,3.25,0.0,3.25,3.25,0.0,5.0,0.0,0.0,2.0,2.6,0.0,0.0,0.4,0,1
S08b1acd8bd4aba7f,3.1950000000000003,3.0,3.39,0.27577164466275345,3.21,3.0,0.3900000000000001,10.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0,0
S08b86710b5b1e84d,2.38,2.38,2.38,0.0,2.38,2.38,0.0,5.0,0.0,1.0,0.0,1.9,0.0,0.2,0.0,0,1
S08cc9fd055533bee,2.635,2.38,2.89,0.36062445840513957,2.65,2.38,0.5100000000000002,10.0,0.0,1.0,0.0,2.4,0.0,0.1,0.0,0,0
S08e8d549b2cce033,1.5,1.5,1.5,0.0,1.5,1.5,0.0,5.0,1.0,1.0,0.0,1.2,0.2,0.2,0.0,1,1
S08f4ae073d206d06,3.44,3.38,3.5,0.08485281374238578,3.44,3.38,0.1200000000000001,10.0,0.0,0.0,1.0,3.1,0.0,0.0,0.1,0,0
S08ff416d8a9d7a4e,2.78,2.78,2.78,0.0,2.78,2.78,0.0,6.0,0.0,0.0,1.0,2.4166666666666665,0.0,0.0,0.16666666666666666,0,1
S090b75dafef4cdf0,3.9450000000000003,3.89,4.0,0.0777817459305203,3.94,3.94,-0.10999999999999988,10.0,0.0,0.0,8.0,3.5,0.0,0.0,0.8,0,0
S090d00b6dc6e8b64,3.88,3.88,3.88,0.0,3.88,3.88,0.0,5.0,0.0,0.0,3.0,3.1,0.0,0.0,0.6,0,1
S092c57993b830143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
S093b143d714609bb,2.5,2.5,2.5,0.0,2.5,2.5,0.0,2.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0,1
