student_id,target_y1_struggle,target_ajc_case,target_ajc_guilty,target_final_cgpa,target_major_success,target_ever_probation,target_extended_graduation,gender_male,is_international,offer_enrolled,intended_cs,intended_engineering,intended_business,intended_mis,needs_financial_aid,exam_wassce,exam_ib,exam_alevel,has_previous_application,disadvantaged_background,exam_source,hs_mathematics,hs_english_language,hs_best_science,hs_aggregate_score,has_elective_math
S089e85c637908d0d,0,0,0,3.68,1,0,0,,,,,,,,,,,,,,,,,,,
S109c6005789867d8,0,0,0,3.39,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
Scad6730d086a23f0,0,0,0,2.46,0,0,0,,,,,,,,,,,,,,,,,,,
S917b929eab83a362,0,0,0,2.91,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,80.0,,74.0,1.0
S4900bb2ad4c106cb,0,0,0,2.61,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,wassce,70.0,70.0,70.0,64.0,1.0
Sb85eaea9c462ca97,0,0,0,3.28,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,ib,,,85.71428571428571,75.55555555555556,
S4891bfc202b00679,0,0,0,2.99,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,wassce,90.0,80.0,90.0,82.0,1.0
Sf6dd16521be8dfc1,0,0,0,3.09,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,90.0,90.0,88.0,1.0
S1b91b561b4efe392,0,0,0,3.23,1,0,0,,,,,,,,,,,,,,,,,,,
Se9b58921f7f59f6d,0,0,0,3.09,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,a_level,60.0,,,,
S57828d7465a85dc6,0,0,0,3.78,1,0,0,,,,,,,,,,,,,,,,,,,
S57ce287497d619a9,0,0,0,2.32,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Sf3c8a6fe3ef5fe87,0,0,0,3.11,1,0,0,,,,,,,,,,,,,,,,,,,
Se4d16eb80a3435f2,0,0,0,3.14,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,70.0,70.0,70.0,1.0
S989f0370dff0e590,1,0,0,1.42,0,1,0,,,,,,,,,,,,,,a_level,75.0,,,,
S235bc2a2bbc0f991,0,0,0,3.14,1,0,1,,,,,,,,,,,,,,,,,,,
S1dd6aa0351edb48f,0,0,0,3.56,1,0,0,,,,,,,,,,,,,,,,,,,
S1d5d68ba6cd65243,0,0,0,2.37,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,70.0,90.0,82.0,1.0
Sd9b48dcabdadf63f,0,0,0,3.19,1,0,0,,,,,,,,,,,,,,,,,,,
S4db8a11b28098c8c,0,0,0,2.79,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,70.0,80.0,78.0,1.0
S277bf2b1ebb1960e,0,0,0,2.93,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
S211ff4058d1a42fe,0,0,0,3.92,1,0,0,,,,,,,,,,,,,,,,,,,
S602e8244e153afe7,0,0,0,2.99,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ib,,,42.857142857142854,64.44444444444444,
S05873ed56cd98d8e,0,0,0,3.1,1,0,0,,,,,,,,,,,,,,wassce,90.0,80.0,,84.0,0.0
Se1bc4061180fac46,0,0,0,3.04,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,90.0,,86.0,0.0
S90604bbb2e5a8271,0,0,0,2.91,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,wassce,90.0,70.0,,76.0,1.0
Sc5c77d4307e7754d,1,0,0,2.38,0,1,0,,,,,,,,,,,,,,wassce,90.0,70.0,,76.0,1.0
Sb128d062f6d4e08e,0,0,0,2.98,0,0,1,,,,,,,,,,,,,,,,,,,
Sb01f8b2a9888be6f,0,0,0,3.17,1,0,0,,,,,,,,,,,,,,,,,,,
S35a398f686e0048d,0,0,0,3.68,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
S8e3359f1c5ff8a19,0,0,0,2.68,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,wassce,90.0,70.0,80.0,78.0,1.0
