student_id,Yeargroup,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA,is_female,is_international,needs_financial_aid,is_disadvantaged,has_previous_application,intended_cs,intended_engineering,intended_business,intended_mis,exam_type_application,exam_source,hs_math_score,hs_english_score,hs_science_score,hs_aggregate,math_track,math_track_encoded,final_cgpa,min_cgpa,max_cgpa,avg_cgpa,avg_gpa,gpa_std,min_gpa,max_gpa,final_program,student_status,total_semesters,regular_semesters,academic_years,summer_semesters,y1_gpa_mean,y1_gpa_min,y1_gpa_max,y1_cgpa_end,ajc_case_count,ajc_guilty_count,has_ajc_case,ajc_guilty,is_graduated,is_active,is_dismissed,is_withdrawn,ever_on_probation,first_year_struggle,major_success,extended_graduation,is_cs_major
S00039f6fd1b74390,2026,2022-2023,B.Sc - Mechanical Engineering,Semester 2,2024-2025,Active,Male,Country0,AFA,3.9,3.8,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"IGCSE 'A' Level
International Baccalaureate (IB) Diploma",ib,,,,36.0,Calculus,3,3.8,3.78,3.88,3.815,3.8033333333333332,0.09003702941938206,3.65,3.9,B.Sc - Mechanical Engineering,Active,6,5,3.0,1,3.88,3.88,3.88,3.88,0,0,0,0,0,1,0,0,0,0,0,0,0
S000901505ca1ec7f,2016,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0,Unknown,3.63,3.72,0,0,,,,,,,,,,,,,,Calculus,3,3.72,3.72,3.74,3.7300000000000004,3.69,0.08485281374238578,3.63,3.75,B.Sc - Business Administration,Active,2,2,4.0,0,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0
S0021eb5e8ac9bfec,2025,2021-2022,B.Sc - Management Information Systems,Semester 2,2024-2025,Graduated,Female,Country0,AFA,3.5,3.35,1,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,WASSCE - Ghana,wassce,75.0,85.0,95.0,15.0,Pre-Calculus,2,3.35,3.23,3.75,3.3777777777777778,3.2911111111111113,0.2868991305513336,2.83,3.75,B.Sc - Management Information Systems,Graduated,9,7,4.0,2,3.75,3.75,3.75,3.75,0,0,0,0,1,0,0,0,0,0,1,0,0
S0027200343737e85,2021,2017-2018,B.Sc - Computer Science,Semester 1,2021-2022,Graduated,Male,Country6,MCF,0.0,3.52,0,1,,,,,,,,,,,,,,Calculus,3,3.52,3.5,3.88,3.5888888888888886,3.126666666666667,1.1998333217576516,0.0,3.88,B.Sc - Computer Science,Graduated,9,9,5.0,0,3.55,3.22,3.88,3.53,0,0,0,0,1,0,0,0,0,0,1,1,1
S002e2924edb73507,2018,2014-2015,B.Sc - Business Administration,Semester 2,2017-2018,Graduated,Male,Country0,Unknown,3.67,3.21,0,0,,,,,,,,,,,,,,Calculus,3,3.21,2.97,3.21,3.105,3.34,0.30192714352969335,2.78,3.67,B.Sc - Business Administration,Graduated,6,6,4.0,0,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0
S00343a21bff49603,2017,2013-2014,B.Sc - Business Administration,Semester 2,2016-2017,Active,Male,Country0,Unknown,4.0,3.44,0,0,,,,,,,,,,,,,,Calculus,3,3.44,3.34,3.44,3.375,3.5625,0.31457643480294795,3.25,4.0,B.Sc - Business Administration,Active,4,4,4.0,0,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0
S00351b9aa92d65d6,2021,2017-2018,B.Sc - Business Administration,Semester 2,2020-2021,Graduated,Female,Country0,AFA,3.67,3.7,1,0,,,,,,,,,,,,,,Calculus,3,3.7,3.38,3.7,3.5877777777777777,3.731111111111111,0.2277852302303887,3.38,4.0,B.Sc - Business Administration,Graduated,9,8,4.0,1,3.4699999999999998,3.38,3.56,3.47,0,0,0,0,1,0,0,0,0,0,1,0,0
S00364db68c4f235e,2028,2024-2025,B.Sc - Mechanical Engineering,Semester 3,2024-2025,Active,Male,Country0,AFA,3.39,3.44,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,WASSCE - Ghana,wassce,95.0,95.0,,7.0,Calculus,3,3.44,3.44,3.5,3.4699999999999998,3.4450000000000003,0.0777817459305203,3.39,3.5,B.Sc - Mechanical Engineering,Active,2,1,1.0,1,3.4450000000000003,3.39,3.5,3.44,0,0,0,0,0,1,0,0,0,0,0,0,0
S003e475aa47d58dc,2025,2021-2022,B.Sc - Computer Science,Semester 2,2024-2025,Graduated,Male,Country0,AFA,2.6,3.07,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,WASSCE - Ghana,wassce,95.0,95.0,95.0,9.0,College Algebra,1,3.07,3.0,3.38,3.16,2.98125,0.3544991436620728,2.33,3.38,B.Sc - Computer Science,Graduated,8,7,4.0,1,3.38,3.38,3.38,3.38,0,0,0,0,1,0,0,0,0,0,1,0,1
S004a44d4ffc3ea70,2023,2019-2020,B.Sc - Mechanical Engineering,Semester 2,2022-2023,Graduated,Female,Country5,MCF,3.38,3.39,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,IGCSE 'A' Level,,,,,,Calculus,3,3.39,3.25,3.54,3.40125,3.3962499999999998,0.23108053636278916,3.0,3.75,B.Sc - Mechanical Engineering,Graduated,8,8,4.0,0,3.4299999999999997,3.25,3.61,3.44,0,0,0,0,1,0,0,0,0,0,1,0,0
S007ec4aa50afde04,2024,2020-2021,B.Sc - Computer Engineering,Semester 3,2023-2024,Graduated,Male,Country5,MCF,4.0,3.41,0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Other Official Exam,oa_level,80.0,,,,Calculus,3,3.41,3.33,3.72,3.50375,3.42625,0.36594056894528637,3.0,4.0,B.Sc - Computer Engineering,Graduated,8,7,4.0,1,3.67,3.67,3.67,3.67,0,0,0,0,1,0,0,0,0,0,1,0,1
S007f16965d7a9323,2022,2018-2019,B.Sc - Management Information Systems,Semester 2,2021-2022,Graduated,Female,Country0,FFP,3.5,3.31,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,WASSCE - Ghana,,,,,,Pre-Calculus,2,3.31,2.62,3.31,2.969,2.9939999999999998,1.153836113916434,0.0,4.0,B.Sc - Management Information Systems,Graduated,10,8,4.0,2,3.08,2.61,4.0,2.76,0,0,0,0,1,0,0,0,0,0,1,0,0
S00811ff3f54f7526,2022,2018-2019,B.Sc - Computer Science,Semester 2,2018-2019,Exited,Male,Country0,Unknown,3.78,3.88,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"WASSCE - Ghana
High School Diploma",,,,,,Calculus,3,3.88,3.88,4.0,3.94,3.8899999999999997,0.15556349186104043,3.78,4.0,B.Sc - Computer Science,Exited,2,2,1.0,0,3.8899999999999997,3.78,4.0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,1
S008cc478c4b068aa,2023,2019-2020,B.Sc - Computer Science,Semester 2,2022-2023,Graduated,Female,Country0,Other,2.38,2.77,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,WASSCE - Ghana,wassce,95.0,85.0,95.0,7.0,College Algebra,1,2.77,2.72,3.75,3.0755555555555554,2.591111111111111,0.6923951986482222,1.72,3.75,B.Sc - Computer Science,Graduated,9,8,4.0,1,3.71,3.67,3.75,3.71,0,0,0,0,1,0,0,0,0,0,0,0,1
S009425864f7953a8,2020,2016-2017,B.Sc - Electrical and Electronic Engineering,Semester 2,2019-2020,Graduated,Female,Country0,Unknown,3.3,2.58,1,0,,,,,,,,,,,,,,Calculus,3,2.58,2.25,2.58,2.427777777777778,2.602222222222222,0.5236119216026736,2.17,3.67,B.Sc - Electrical and Electronic Engineering,Graduated,9,8,4.0,1,2.77,2.25,3.67,2.53,0,0,0,0,1,0,0,0,0,0,0,0,0
S00a315492899b463,2023,2019-2020,B.Sc - Business Administration,Semester 2,2022-2023,Graduated,Male,Country7,FFP,3.5,3.4,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,IGCSE 'A' Level,ib,,,,27.0,College Algebra,1,3.4,3.25,3.75,3.434,3.378,0.41803242830085696,2.67,4.0,B.Sc - Business Administration,Graduated,10,8,4.0,2,3.73,3.44,4.0,3.63,0,0,0,0,1,0,0,0,0,0,1,0,0
S00b0ed5977e682fe,2027,2023-2024,B.Sc - Economics,Semester 3,2024-2025,Active,Female,Country39,Other,4.0,2.74,1,1,,,,,,,,,,,,,,Calculus,3,2.74,2.57,2.93,2.7560000000000002,2.912,0.7829240065293693,1.79,4.0,B.Sc - Economics,Active,5,3,2.0,2,2.94,2.88,3.0,2.93,0,0,0,0,0,1,0,0,0,0,0,0,0
S00d3f377e862fdff,2021,2017-2018,B.Sc - Business Administration,Semester 3,2021-2022,Graduated,Female,Country0,MCF,3.25,3.23,1,0,,,,,,,,,,,,,,Calculus,3,3.23,3.1,3.75,3.4099999999999997,3.141818181818182,0.5781144900764587,2.0,4.0,B.Sc - Business Administration,Graduated,11,9,5.0,2,3.77,3.56,4.0,3.68,0,0,0,0,1,0,0,0,0,0,1,1,0
S00d5db36822dca23,2026,2022-2023,B.Sc - Computer Science,Semester 3,2024-2025,Active,Male,Country0,FFP,4.0,3.04,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,WASSCE - Ghana,wassce,85.0,65.0,75.0,23.0,Pre-Calculus,2,3.04,2.91,3.21,3.032857142857143,3.064285714285714,0.5055313093784646,2.44,4.0,B.Sc - Computer Science,Active,7,5,3.0,2,3.13,3.13,3.13,3.13,0,0,0,0,0,1,0,0,0,0,0,0,1
S00e2dba8f79a85c3,2022,2018-2019,B.Sc - Business Administration,Semester 1,2018-2019,Exited,Female,Country0,Unknown,3.25,3.25,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WASSCE - Ghana,,,,,,Pre-Calculus,2,3.25,3.25,3.25,3.25,3.25,,3.25,3.25,B.Sc - Business Administration,Exited,1,1,1.0,0,3.25,3.25,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0
S00ea48612090d518,2022,2018-2019,B.Sc - Business Administration,Semester 1,2022-2023,Graduated,Female,Country0,FFP,3.0,2.49,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WASSCE - Ghana,,,,,,Pre-Calculus,2,2.49,1.6,2.49,2.0384615384615383,2.2653846153846153,0.9426435822074657,0.5,4.0,B.Sc - Business Administration,Graduated,13,9,5.0,4,1.3966666666666665,0.5,2.06,1.6,1,1,1,1,1,0,0,0,1,1,0,1,0
S00edea96a80781da,2022,2018-2019,B.Sc - Electrical and Electronic Engineering,Semester 2,2021-2022,Graduated,Female,Country2,Other,2.88,2.77,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Other Official Exam,,,,,,Calculus,3,2.77,2.59,2.77,2.7175,2.77125,0.14970804921579867,2.44,2.9,B.Sc - Electrical and Electronic Engineering,Graduated,8,8,4.0,0,2.5949999999999998,2.44,2.75,2.59,0,0,0,0,1,0,0,0,0,0,0,0,0
