student_id,math_track,first_math_grade,first_math_grade_point,math_track_encoded
S00039f6fd1b74390,calculus,B+,3.5,3
S000901505ca1ec7f,calculus,A,4.0,3
S0021eb5e8ac9bfec,precalculus,B,3.0,2
S0027200343737e85,calculus,A,4.0,3
S002e2924edb73507,calculus,D+,1.5,3
S00343a21bff49603,calculus,C+,2.5,3
S00351b9aa92d65d6,calculus,C,2.0,3
S00364db68c4f235e,calculus,A,4.0,3
S003e475aa47d58dc,college_algebra,D,1.0,1
S004a44d4ffc3ea70,calculus,B+,3.5,3
S007ec4aa50afde04,calculus,A,4.0,3
S007f16965d7a9323,precalculus,B+,3.5,2
S00811ff3f54f7526,calculus,A+,4.0,3
S008cc478c4b068aa,college_algebra,C,2.0,1
S009425864f7953a8,calculus,C,2.0,3
S00a315492899b463,college_algebra,B+,3.5,1
S00b0ed5977e682fe,calculus,A,4.0,3
S00d3f377e862fdff,calculus,A,4.0,3
S00d5db36822dca23,precalculus,B+,3.5,2
S00e2dba8f79a85c3,precalculus,A,4.0,2
S00ea48612090d518,precalculus,D+,1.5,2
S00edea96a80781da,calculus,C,2.0,3
S0104b8d59b5cb817,calculus,E,0.0,3
S0119853eaee4a3c5,calculus,D,1.0,3
S011fae987f9707e3,calculus,D,1.0,3
S013492c95f8de35c,calculus,B,3.0,3
S0135013aafd32f75,college_algebra,B+,3.5,1
S0197308ad75e74cb,precalculus,A,4.0,2
S01c1a38d8b404869,precalculus,C,2.0,2
S01cb84ace2cdfdd2,calculus,B,3.0,3
S01da54e779d55252,calculus,A,4.0,3
S01e4fa63186732d0,calculus,C+,2.5,3
S022f0d67d2fc1382,calculus,A,4.0,3
S0235f729a56ee731,calculus,B+,3.5,3
S02461720ece27247,calculus,D+,1.5,3
S024917b0a2124327,calculus,E,0.0,3
S024b1f4f1b45a104,calculus,A+,4.0,3
S025d093f827774aa,precalculus,E,0.0,2
S026736b16870c241,college_algebra,D+,1.5,1
S026fcab5f837cc46,precalculus,D+,1.5,2
S0272b7926eb03cde,calculus,C,2.0,3
S028f7bfe98f91c5c,calculus,B+,3.5,3
S02947b236b94ce1f,precalculus,B,3.0,2
S02a65a034b2440fc,calculus,B,3.0,3
S02c2ed814859982e,calculus,C,2.0,3
S02dad1f8a3727dc8,calculus,A,4.0,3
S033ee0a3d43f0abe,college_algebra,A,4.0,1
S03497264bc0da9a5,calculus,B+,3.5,3
S038629ff81040f38,calculus,A,4.0,3
S0398f69ecdc86b5c,precalculus,C,2.0,2
S03a2fc5b6e2fa7ef,calculus,E,0.0,3
S03a7dd0a38bbdd92,calculus,B,3.0,3
S03c9b60ffe971331,college_algebra,B,3.0,1
S03ff1c52a61cc6fc,precalculus,B+,3.5,2
S041fed76d0180d65,calculus,B,3.0,3
S04455bf81dd6bcd9,calculus,B+,3.5,3
S0497d986778b74f7,calculus,B,3.0,3
S04a8a0adc169528c,college_algebra,B+,3.5,1
S04ce5dbb6cd4c844,precalculus,B+,3.5,2
S04d30a6f446f7bb6,calculus,B+,3.5,3
S04d55add82b650ca,calculus,B,3.0,3
S04f582be572dabfe,calculus,B,3.0,3
S04f5ab171075326d,precalculus,B,3.0,2
S05382a66ab179321,calculus,A,4.0,3
S054a3f18a2a3eb26,calculus,A,4.0,3
S05696f42268bd20c,calculus,D,1.0,3
S05873ed56cd98d8e,precalculus,A+,4.0,2
S058d588e90689c7b,calculus,C,2.0,3
S05b6caa3c4ed9c1c,calculus,B,3.0,3
S05db033900c6a235,college_algebra,A,4.0,1
S05e1766d9d91de46,calculus,C,2.0,3
S05eb10dac2ff14b4,precalculus,A+,4.0,2
S060591bfe89d4f7e,college_algebra,B+,3.5,1
S0606990f18ce9e31,precalculus,C+,2.5,2
S060df0e6632becac,precalculus,C,2.0,2
S061a156026c49303,precalculus,C+,2.5,2
S061ef32e387ea65d,precalculus,D+,1.5,2
S062a863eea913e8a,precalculus,A,4.0,2
S0649cc408d01a92b,calculus,B,3.0,3
S064c9fbc31153861,calculus,C,2.0,3
S066c9984b17371d9,precalculus,B,3.0,2
S06729636df576a83,calculus,C,2.0,3
S06735f31ccb05659,calculus,B,3.0,3
S06932e8bf7bb2709,precalculus,B,3.0,2
S069964274d35f1bf,calculus,B+,3.5,3
S06e5242d6639ad78,calculus,C+,2.5,3
S06ee9f38ef863d07,precalculus,A,4.0,2
S06f110fd8dcc3721,precalculus,C+,2.5,2
S06f8d389db3c06f2,calculus,A,4.0,3
S06fa7d3f35e77cea,calculus,A+,4.0,3
S06fab8257e1d49df,calculus,A,4.0,3
S071f19925dc23d15,precalculus,D+,1.5,2
S0727b8bf7458ccb5,precalculus,D+,1.5,2
S07304927cbdbfcbf,calculus,B+,3.5,3
S073d8aa3e3844085,calculus,E,0.0,3
S073f73ac19778436,college_algebra,D+,1.5,1
S0767734e25cdc5a0,precalculus,A+,4.0,2
S07753a1329f2fd33,calculus,C+,2.5,3
S0775ef8185010074,calculus,B+,3.5,3
S07870fee857fbb4a,precalculus,D+,1.5,2
S078ea5213eb57d99,precalculus,C,2.0,2
S07a59ddd1343a129,precalculus,B,3.0,2
S07df034cde3c56b3,precalculus,C+,2.5,2
S07fd61e0a8b711c4,precalculus,A+,4.0,2
S080c07b812a9996c,calculus,B+,3.5,3
S083cd59bb39bd338,calculus,B+,3.5,3
S083d30bd7bfadf7c,precalculus,C,2.0,2
S0850ae3c97767f44,precalculus,B,3.0,2
S08727a6da860b1c4,calculus,D+,1.5,3
S0877f1db5db965e4,calculus,C,2.0,3
S08891e1f7b261641,precalculus,B,3.0,2
S089e85c637908d0d,calculus,B+,3.5,3
S08aad1835af6aaa2,precalculus,D+,1.5,2
S08b1acd8bd4aba7f,calculus,C,2.0,3
S08b86710b5b1e84d,calculus,C+,2.5,3
S08cc9fd055533bee,precalculus,D+,1.5,2
S08d63f491bde9d0e,calculus,C,2.0,3
S08e8d549b2cce033,precalculus,D+,1.5,2
S08f4ae073d206d06,calculus,B+,3.5,3
S08ff416d8a9d7a4e,precalculus,D+,1.5,2
S090b75dafef4cdf0,calculus,A+,4.0,3
S090d00b6dc6e8b64,precalculus,A+,4.0,2
S092c046d657922a4,calculus,B,3.0,3
S093b143d714609bb,precalculus,D+,1.5,2
S093bceef9354a5e0,precalculus,D+,1.5,2
S095482c04bf4e30e,precalculus,C,2.0,2
S09b948ba35d3dd11,calculus,B+,3.5,3
S09c397adc7559d5c,calculus,B+,3.5,3
S09e68568f9c77cb9,calculus,D,1.0,3
S09f4fd668c5c47f5,precalculus,C+,2.5,2
S09fee132ea247e11,precalculus,C,2.0,2
S0a099cfff02b0e00,college_algebra,D+,1.5,1
S0a1048bd6cebfedf,college_algebra,C,2.0,1
S0a277e321a152203,calculus,E,0.0,3
S0a41dffdb2fcf6f8,calculus,C+,2.5,3
S0a575a00438b167f,precalculus,C,2.0,2
S0a71bb9edb02e129,college_algebra,E,0.0,1
S0a8ca52dc4305d7e,calculus,A,4.0,3
S0a92af3aa3f7d237,calculus,A,4.0,3
S0a9e6f77e157553a,calculus,B,3.0,3
S0abbf2fdff2da5ce,calculus,D+,1.5,3
S0ac7ac7bf58857fc,calculus,C+,2.5,3
S0aef8c0ca72b501d,precalculus,B,3.0,2
S0affeab25c8ed11d,calculus,B,3.0,3
S0b0f8768363d35fe,calculus,C+,2.5,3
S0b236bdeced5938f,calculus,D+,1.5,3
S0b2d92652f8aa7b8,calculus,C+,2.5,3
S0b62231f49e54ba1,calculus,C+,2.5,3
S0b67c0738d714d1b,calculus,C+,2.5,3
S0b81abb678a67685,calculus,B+,3.5,3
S0befa6db3314dbf8,calculus,C+,2.5,3
S0c074a6194075595,college_algebra,C,2.0,1
S0c20848362c9c26b,precalculus,A,4.0,2
S0c40ba4e04343869,calculus,C+,2.5,3
S0c5fab5d4fc153ab,precalculus,D+,1.5,2
S0c697754d1149853,college_algebra,B+,3.5,1
S0c7916fffffc2bfe,calculus,B+,3.5,3
S0c7f8dd18895d778,college_algebra,B,3.0,1
S0c83b2726c438018,precalculus,B+,3.5,2
S0c8c647b561e9b85,precalculus,B,3.0,2
S0c9a35e68e26160d,precalculus,D+,1.5,2
S0ccec9dc1606a35a,calculus,B,3.0,3
S0cd50206cd40917d,calculus,B,3.0,3
S0cd8cbda6e48de81,calculus,A+,4.0,3
S0cd9bf47942e5333,precalculus,A,4.0,2
S0cd9e0ba95928b9e,calculus,A,4.0,3
S0ce29c7eab04a9c8,precalculus,B+,3.5,2
S0ce5fb55a516b3ce,college_algebra,C+,2.5,1
S0ce6cdbfe9d36b69,calculus,B,3.0,3
S0cf61077f8f0796e,precalculus,D+,1.5,2
S0cfbfc8281748371,calculus,A,4.0,3
S0d110dbdd8d4c770,precalculus,E,0.0,2
S0d3ef2d82cc27b15,precalculus,B,3.0,2
S0d479aff3dee9ea9,calculus,A,4.0,3
S0d49e1245e7e04d6,college_algebra,A,4.0,1
S0d6cee51300d8214,calculus,D+,1.5,3
S0d7e2359a18a36da,precalculus,C+,2.5,2
S0d83775a46ad6e4d,precalculus,A,4.0,2
S0d8a96e094653852,precalculus,B+,3.5,2
S0dab0aa7cc03d296,calculus,A,4.0,3
S0db10ac1abdb585f,precalculus,E,0.0,2
S0dba0bff92a6465f,calculus,B,3.0,3
S0dbf20a1f7351ec5,precalculus,C+,2.5,2
S0ddd9e8bcb82335a,calculus,A,4.0,3
S0de3c584c163e053,precalculus,D+,1.5,2
S0dff71585e01294f,calculus,C,2.0,3
S0e077914f084a030,calculus,A+,4.0,3
S0e25632b80aebddd,precalculus,C+,2.5,2
S0e344e1bc86feca3,calculus,C+,2.5,3
S0e355b9ece6cb0af,calculus,D+,1.5,3
S0e428c5da70eabcf,precalculus,D+,1.5,2
S0e6fbb9b500dbf06,precalculus,D,1.0,2
S0ea2555265151f57,precalculus,A,4.0,2
S0ea36c7545f7af8b,calculus,B+,3.5,3
S0eb3220f4c29ec9f,precalculus,A,4.0,2
S0ebdac99c5d28686,precalculus,A+,4.0,2
S0eff6a59d4d15805,precalculus,B,3.0,2
S0f0555b17877b892,calculus,A+,4.0,3
S0f15989a4e6e58d2,calculus,C,2.0,3
S0f1b57bdfaef575e,calculus,C,2.0,3
S0f2a5222e731ca9a,precalculus,B+,3.5,2
S0f3fd752f9c45eb3,calculus,B+,3.5,3
S0f5b0baf4f707b63,precalculus,A,4.0,2
S0f621da206aa4d5c,precalculus,A,4.0,2
S0f66246a16810686,college_algebra,C+,2.5,1
S0f6eb2deb54573c4,precalculus,B,3.0,2
S0f723b6dc4dd9669,calculus,A,4.0,3
S0f725033c01b97cd,calculus,B,3.0,3
S0f7784a212751484,calculus,E,0.0,3
S0f8b898936053bad,precalculus,C,2.0,2
S0fa6e1905fd9c25d,calculus,D,1.0,3
S0fb55a79225e4d49,calculus,C,2.0,3
S0fd3dd7a9f8484bd,precalculus,B+,3.5,2
S0fe2d44d37f2454c,college_algebra,A+,4.0,1
S0fe75d112e01f1d6,precalculus,E,0.0,2
S10577c194ef5f42c,calculus,C,2.0,3
S105c2e6b1de51f89,precalculus,A,4.0,2
S10802e44dbe13ebc,calculus,C+,2.5,3
S1081b6470cfdb34d,precalculus,C+,2.5,2
S1086e2dbb4102a32,calculus,D+,1.5,3
S108e7cce55c08ffa,calculus,B,3.0,3
S108f689d85389331,calculus,A+,4.0,3
S10996707fe6dc2e9,precalculus,C,2.0,2
S109c6005789867d8,calculus,B+,3.5,3
S109d3055d3dfeaa4,college_algebra,B,3.0,1
S10a2f50c488fc762,precalculus,C+,2.5,2
S10c62c4ef0b6781d,precalculus,C+,2.5,2
S10d9f80b06a318ec,precalculus,B,3.0,2
S10ed6680ba2878e2,college_algebra,D+,1.5,1
S10f660c5a276f50e,calculus,C,2.0,3
S10fbd72987930bbb,calculus,C+,2.5,3
S11112df598853db3,calculus,B,3.0,3
S1111e8e2a9aa3121,precalculus,C+,2.5,2
S11136f3fb8b9e957,precalculus,B+,3.5,2
S1124ac5c56ee9984,calculus,B,3.0,3
S11329b1ff90a7ef4,precalculus,D+,1.5,2
S1147edb2fd3e5408,precalculus,E,0.0,2
S1157214051b446ad,calculus,A,4.0,3
S116993845c4a7bc0,precalculus,C+,2.5,2
S1180df044de91bbd,precalculus,D+,1.5,2
S119edd4b1263bd5b,calculus,B,3.0,3
S11a9e664507939a6,calculus,C,2.0,3
S11ae4f861282c8aa,calculus,A+,4.0,3
S11c23ba711693303,calculus,A,4.0,3
S11c3f1461113a825,calculus,C+,2.5,3
S11ccd012c0d81ee4,precalculus,B,3.0,2
S12221d8ab63766f6,calculus,E,0.0,3
S12296f3369a69d8e,precalculus,D+,1.5,2
S1229c7d7c75c5f17,calculus,B+,3.5,3
S123816f30d1573b8,precalculus,E,0.0,2
S12419e4b5fc42263,precalculus,C,2.0,2
S12473003fe8fd31f,precalculus,C+,2.5,2
S124733dc9952d956,precalculus,B,3.0,2
S124fee70b64c7dcb,calculus,C,2.0,3
S125050a064c01341,college_algebra,C,2.0,1
S12554decbc8662d2,college_algebra,B,3.0,1
S126502f2304359a8,precalculus,A,4.0,2
S1295cf5cb7cecdd7,calculus,C,2.0,3
S129a4ef1ad9c7551,precalculus,B,3.0,2
S12bc615219f7b72b,calculus,B,3.0,3
S12f466f715ac4fcb,precalculus,C+,2.5,2
S131712b69423896f,calculus,B,3.0,3
S131b81f079f246bf,precalculus,B,3.0,2
S132844e62a0b1776,precalculus,A,4.0,2
S1334847d5f730086,precalculus,B,3.0,2
S13396ae9db90e834,calculus,A,4.0,3
S133d5e7cf2f8c784,precalculus,B,3.0,2
S134d58cc89e23f02,precalculus,A,4.0,2
S1353b0a03803e18a,precalculus,E,0.0,2
S135dcfa0e13e9699,calculus,C+,2.5,3
S136ba9521eb23422,calculus,A,4.0,3
S139193734e5c74aa,calculus,C+,2.5,3
S13a5dd89e5905708,precalculus,D,1.0,2
S13ab3c5f0536cdb8,precalculus,C,2.0,2
S13bc66a22504ce96,calculus,B,3.0,3
S13bd88eb24875b73,calculus,B+,3.5,3
S13c0c9e3448db6c8,calculus,A,4.0,3
S13c1ceb8a6e4f612,calculus,C,2.0,3
S13dc04a9698f4842,calculus,D+,1.5,3
S13dc40f1ac04db1b,precalculus,A,4.0,2
S13e65e5f92c29a1b,calculus,D+,1.5,3
S140fb9981e04f9a8,precalculus,A,4.0,2
S143e9b88e71e4657,precalculus,D+,1.5,2
S143eca3f5787bd7e,college_algebra,A,4.0,1
S1444c6850e82dc2b,calculus,C+,2.5,3
S14670756726f2443,precalculus,C,2.0,2
S1480b9c726fd742b,precalculus,B,3.0,2
S148f7abf5da0851e,college_algebra,A,4.0,1
S14b4b23df90f1bea,calculus,B,3.0,3
S14bd78ee6ac7f844,precalculus,D+,1.5,2
S14d1b2f66e9e840f,precalculus,C+,2.5,2
S15199399b0ef09ae,precalculus,B+,3.5,2
S151d2e5714d8fffd,precalculus,D+,1.5,2
S152ef101ae001782,calculus,A,4.0,3
S153190cc8aec5121,calculus,B,3.0,3
S154b543b5fd3b1eb,college_algebra,E,0.0,1
S154e3bfb10e2c350,college_algebra,A,4.0,1
S156f5f7e06926b78,calculus,C+,2.5,3
S1598e47357aedf3b,precalculus,B+,3.5,2
S159b3f1dbda3bd7f,calculus,D+,1.5,3
S159dacb151abe312,precalculus,B,3.0,2
S15a4e5658262416c,calculus,E,0.0,3
S15aa8990fa552878,precalculus,A,4.0,2
S15ab9de34d297d1a,calculus,B+,3.5,3
S15c58e3994c3485a,precalculus,B,3.0,2
S15ccec078014e0ac,calculus,C,2.0,3
S15d4ef46dee5f2c1,calculus,E,0.0,3
S15e2fa190ad1eb7c,calculus,B+,3.5,3
S15e861001ec21094,calculus,B+,3.5,3
S16378eb7a8b88428,calculus,B+,3.5,3
S16419cd881a1e32c,precalculus,E,0.0,2
S1645b6a803d49435,precalculus,B,3.0,2
S164a48bb7fca167b,precalculus,B,3.0,2
S167e401a3b9e7d5f,precalculus,D+,1.5,2
S1688f61fb233eac7,precalculus,E,0.0,2
S168a10295c9f8a7f,precalculus,D+,1.5,2
S168e9cb5c02f65bf,precalculus,E,0.0,2
S16b9274f7a70b041,precalculus,D+,1.5,2
S16c1aede618c85c4,college_algebra,C+,2.5,1
S16cdb3ab5f189e7c,college_algebra,E,0.0,1
S16fbe1bc34d9a840,precalculus,E,0.0,2
S1719227d0a9a7207,precalculus,D+,1.5,2
