student_id,cluster,cluster_name,pca_1,pca_2
S089e85c637908d0d,0,High Performers,2.7736932323551122,1.1564959268855663
S109c6005789867d8,0,High Performers,2.0594355426800925,0.7761643676156302
S917b929eab83a362,0,High Performers,1.1159692436920627,-0.6675193077205164
S4900bb2ad4c106cb,2,Average Performers,-1.674466584039562,-1.9466735447457106
Sb85eaea9c462ca97,0,High Performers,0.5898479296085792,-0.717614441702911
S4891bfc202b00679,0,High Performers,1.9216239160740867,-0.39247718741404203
Sf6dd16521be8dfc1,0,High Performers,2.5385754850300435,-0.866108594371329
S1b91b561b4efe392,2,Average Performers,0.12425423680266218,1.3268761444557744
Se9b58921f7f59f6d,0,High Performers,1.062782697101459,-1.3372744050666348
S57ce287497d619a9,2,Average Performers,-1.465187386517389,-0.8768293805999614
Se4d16eb80a3435f2,2,Average Performers,0.4886294775309201,0.07935808615922779
S989f0370dff0e590,1,At-Risk Students,-5.878197853219176,-1.1405998995063935
S235bc2a2bbc0f991,0,High Performers,1.5928446389931865,0.8067043504156326
S1d5d68ba6cd65243,2,Average Performers,-2.489575903441806,-0.4233819852826947
Sd9b48dcabdadf63f,2,Average Performers,-1.7610985030243624,2.073483056314053
S4db8a11b28098c8c,2,Average Performers,-1.116893793803741,-0.999638981529431
S277bf2b1ebb1960e,2,Average Performers,-0.17464502925279315,1.0332864567625266
S602e8244e153afe7,2,Average Performers,-1.1676052317248866,-1.9970923206210374
S05873ed56cd98d8e,0,High Performers,1.7329931840412431,-0.9317068607099074
Se1bc4061180fac46,0,High Performers,1.3181461272501245,-1.2922389262488057
S90604bbb2e5a8271,2,Average Performers,-0.9437591336598925,-0.8603992969769084
Sc5c77d4307e7754d,1,At-Risk Students,-4.056705775627782,-0.7239690244390844
S35a398f686e0048d,0,High Performers,3.58906870759826,-0.3019831759498094
S8e3359f1c5ff8a19,0,High Performers,0.6263690175787292,1.8150297699744598
S6800edb3b351258e,0,High Performers,0.7253165599274646,-0.45208990169112134
Sd7bd7b2fa77d28ef,0,High Performers,1.5872894153086463,2.348399514437947
S47cb9986f57d13c7,0,High Performers,1.3246479892252225,-0.7897777094721002
Sb36348d49d12c686,0,High Performers,1.2535848091976787,-0.6716025905964285
S607975d1e2a86fbe,0,High Performers,3.2963288040966545,1.2988951390526533
S4744bd3479ab5e44,1,At-Risk Students,-3.9104430013539893,-1.305686525113551
S7bba4a8b0120cb55,2,Average Performers,-1.6378795592405984,0.3641521246663803
Sbdcb8335a20b4382,2,Average Performers,-3.4612674128214507,-0.4144619948236597
