student_id,y2_gpa_mean,y2_gpa_min,y2_gpa_max,y2_gpa_std,y2_cgpa_end,y2_cgpa_min,y2_gpa_trend,y2_courses_taken,y2_fail_count,y2_risk_count,y2_a_count,y2_avg_grade_point,y2_fail_rate,y2_risk_rate,y2_a_rate,y2_ever_probation,y2_incomplete_data
S00039f6fd1b74390,3.8049999999999997,3.78,3.83,0.03535533905932772,3.83,3.82,0.050000000000000266,10.0,0.0,0.0,7.0,3.75,0.0,0.0,0.7,0,0
S0021eb5e8ac9bfec,3.0,2.83,3.17,0.24041630560342606,3.23,3.23,-0.33999999999999986,10.0,0.0,1.0,0.0,3.05,0.0,0.1,0.0,0,0
S0027200343737e85,3.665,3.61,3.72,0.07778174593052045,3.6,3.6,-0.11000000000000032,10.0,0.0,0.0,4.0,3.65,0.0,0.0,0.4,0,0
S002e2924edb73507,3.085,2.78,3.39,0.4313351365237942,2.97,2.97,-0.6100000000000003,10.0,0.0,0.0,1.0,3.1,0.0,0.0,0.1,0,0
S00351b9aa92d65d6,3.67,3.56,3.78,0.15556349186104027,3.57,3.57,-0.21999999999999975,10.0,0.0,0.0,7.0,3.7,0.0,0.0,0.7,0,0
S003e475aa47d58dc,3.17,3.06,3.28,0.15556349186104027,3.23,3.23,-0.21999999999999975,10.0,0.0,0.0,1.0,3.15,0.0,0.0,0.1,0,0
S004a44d4ffc3ea70,3.5149999999999997,3.28,3.75,0.3323401871576773,3.47,3.47,-0.4700000000000002,10.0,0.0,0.0,4.0,3.5,0.0,0.0,0.4,0,0
S007ec4aa50afde04,3.6399999999999997,3.5,3.78,0.197989898732233,3.65,3.65,-0.2799999999999998,10.0,0.0,0.0,5.0,3.65,0.0,0.0,0.5,0,0
S007f16965d7a9323,3.1950000000000003,2.89,3.5,0.43133513652379374,2.97,2.8,0.6099999999999999,10.0,0.0,0.0,3.0,3.2,0.0,0.0,0.3,0,0
S008cc478c4b068aa,2.195,1.72,2.67,0.67175144212722,2.93,2.93,-0.95,10.0,1.0,1.0,1.0,2.35,0.1,0.1,0.1,0,0
S009425864f7953a8,2.365,2.17,2.56,0.27577164466275345,2.45,2.41,0.3900000000000001,10.0,0.0,2.0,0.0,2.5,0.0,0.2,0.0,0,0
