Feature Set,Model,Accuracy,Precision,Recall,F1,AUC,Train Size,Test Size
Admissions Only,Logistic Regression,0.6190476190476191,0.15421686746987953,0.39751552795031053,0.2222222222222222,0.603849095860233,2542,1176
Admissions Only,Random Forest,0.826530612244898,0.19718309859154928,0.08695652173913043,0.1206896551724138,0.6266254627788147,2542,1176
Admissions Only,Gradient Boosting,0.7925170068027211,0.23225806451612904,0.2236024844720497,0.22784810126582278,0.669311262735979,2542,1176
Admissions Only,XGBoost,0.8163265306122449,0.1839080459770115,0.09937888198757763,0.12903225806451613,0.6566563656947036,2542,1176
Admissions + Year 1,Logistic Regression,0.8323404255319149,0.4467455621301775,0.937888198757764,0.6052104208416834,0.9613271344040575,2043,1175
Admissions + Year 1,Random Forest,0.9548936170212766,0.8802816901408451,0.7763975155279503,0.8250825082508251,0.9625246548323472,2043,1175
Admissions + Year 1,Gradient Boosting,0.9557446808510638,0.8707482993197279,0.7950310559006211,0.8311688311688312,0.9718904284121674,2043,1175
Admissions + Year 1,XGBoost,0.9514893617021276,0.8513513513513513,0.782608695652174,0.8155339805825242,0.9640958261359599,2043,1175
Admissions + Year 1 + Year 2,Logistic Regression,0.963758389261745,0.8217054263565892,0.9636363636363636,0.8870292887029289,0.9963922691481747,1965,745
Admissions + Year 1 + Year 2,Random Forest,0.9771812080536912,0.9043478260869565,0.9454545454545454,0.9244444444444444,0.9949033643521832,1965,745
Admissions + Year 1 + Year 2,Gradient Boosting,0.9704697986577181,0.860655737704918,0.9545454545454546,0.9051724137931034,0.9902648532569792,1965,745
Admissions + Year 1 + Year 2,XGBoost,0.9838926174496644,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9969076592698639,1965,745
